                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1254,                0.49634,                0.91667,                0.97422,                 0.9641,                0.98427,                0.70279,                 1.0786,                0.46522,                0.91164,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.1154,                0.49042,                0.91581,                 0.9738,                0.96348,                0.98404,                0.70726,                 1.0758,                0.46402,                0.91334,               0.001307,               0.001307,               0.001307
                     38,                 1.0874,                0.48046,                0.90837,                0.97518,                  0.967,                0.98521,                   0.72,                 1.0107,                0.44942,                0.89937,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.0873,                0.47863,                0.90463,                0.97405,                0.96447,                0.98439,                0.72855,                0.98981,                0.44591,                0.89594,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.0963,                0.48568,                0.91258,                0.97451,                0.96776,                0.98539,                0.72555,                 1.0023,                0.45133,                0.89447,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.1091,                0.48767,                0.90999,                 0.9732,                0.96554,                0.98452,                0.71518,                 1.0417,                0.46062,                0.90424,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.0965,                0.48084,                0.90941,                0.97526,                0.96666,                0.98534,                0.71961,                 1.0239,                0.45225,                0.89795,               0.001208,               0.001208,               0.001208
                     43,                 1.0877,                0.47675,                0.90935,                0.97604,                0.96732,                0.98557,                0.72658,                  1.006,                0.44511,                0.89575,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.0785,                0.47744,                0.90419,                0.97667,                0.96572,                0.98525,                0.72654,                 1.0036,                0.44106,                0.89555,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.0851,                0.47722,                0.90681,                0.97702,                0.96711,                0.98562,                0.72123,                 1.0119,                 0.4438,                0.89492,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.0749,                 0.4749,                0.90782,                0.97536,                0.96669,                0.98548,                 0.7149,                 1.0403,                0.44787,                0.89993,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.0872,                0.47587,                0.90792,                0.97549,                0.96596,                0.98516,                0.71461,                 1.0424,                 0.4541,                0.90152,               0.001109,               0.001109,               0.001109
                     48,                 1.0915,                0.47898,                0.90577,                0.97569,                0.96872,                0.98533,                0.72459,                 1.0113,                0.44154,                0.89745,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.0741,                0.47087,                0.90089,                0.97616,                 0.9679,                0.98566,                0.72039,                 1.0263,                0.44466,                 0.8989,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.0881,                0.47347,                0.90404,                0.97515,                0.96923,                0.98569,                0.72945,                  0.998,                0.44247,                0.89495,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.0789,                0.46876,                0.90568,                0.97589,                0.96985,                0.98614,                0.72686,                 1.0061,                0.44257,                0.89345,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.0952,                0.47309,                0.91203,                0.97592,                 0.9695,                0.98585,                0.72624,                 1.0185,                0.44053,                0.89838,                0.00101,                0.00101,                0.00101
                     53,                  1.049,                0.46002,                0.90053,                0.97707,                0.96961,                0.98602,                0.73392,                0.98186,                0.43061,                0.89059,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.0638,                0.46448,                0.90199,                0.97747,                0.96943,                0.98549,                0.72633,                 1.0048,                0.43719,                0.89456,              0.0009704,              0.0009704,              0.0009704
                     55,                  1.075,                 0.4667,                0.90116,                0.97765,                0.96769,                0.98582,                 0.7392,                0.97377,                0.43217,                0.88876,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.0551,                0.46053,                0.89834,                 0.9767,                0.97016,                0.98617,                 0.7309,                0.99203,                0.43024,                0.89247,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.0566,                0.45826,                0.90063,                0.97707,                0.97103,                0.98636,                0.73977,                0.95805,                0.42419,                0.88459,               0.000911,               0.000911,               0.000911
                     58,                 1.0495,                0.45554,                0.89701,                0.97719,                0.97146,                0.98655,                0.73755,                0.97355,                0.42935,                 0.8838,              0.0008912,              0.0008912,              0.0008912
                     59,                  1.081,                 0.4634,                0.90036,                0.97816,                0.96918,                0.98606,                0.72583,                 1.0063,                 0.4305,                0.89267,              0.0008714,              0.0008714,              0.0008714
                     60,                  1.053,                0.45531,                0.89973,                0.97561,                0.97136,                0.98576,                0.73346,                0.99137,                0.42886,                0.89098,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.0372,                0.44989,                0.89486,                0.97769,                0.97006,                0.98688,                 0.7337,                0.99326,                0.42943,                 0.8911,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.0612,                0.45994,                0.90339,                0.97807,                0.96906,                0.98633,                0.73921,                0.97032,                0.42597,                0.88661,               0.000812,               0.000812,               0.000812
                     63,                 1.0514,                0.45281,                0.89953,                0.97775,                0.96916,                0.98648,                0.73792,                0.97848,                0.42674,                0.88854,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.0466,                0.45233,                 0.8957,                 0.9779,                0.97071,                0.98664,                0.73334,                0.99415,                0.42678,                0.88938,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.0566,                0.45382,                0.89802,                0.97753,                0.97137,                0.98658,                0.73529,                0.97489,                0.42108,                0.88788,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.0314,                0.44778,                0.89264,                0.97661,                 0.9713,                0.98668,                0.73296,                0.99518,                0.42358,                0.88926,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.0395,                0.44965,                0.89615,                0.97636,                 0.9712,                0.98628,                 0.7334,                0.99333,                0.42845,                0.88949,               0.000713,               0.000713,               0.000713
                     68,                 1.0266,                0.44314,                0.88926,                0.97799,                0.97143,                0.98653,                0.73062,                0.97965,                0.41795,                0.88588,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.0333,                0.44693,                0.89615,                  0.977,                0.97349,                0.98689,                 0.7341,                0.97394,                0.41742,                0.88513,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.0256,                0.44268,                 0.8888,                0.97647,                0.97089,                0.98638,                0.74014,                0.97031,                0.41528,                0.88579,              0.0006536,              0.0006536,              0.0006536
                     71,                  1.018,                0.43981,                0.89332,                0.97926,                0.97318,                0.98762,                0.73677,                0.96641,                 0.4149,                  0.883,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.0262,                0.44163,                0.89281,                  0.978,                0.97268,                0.98713,                0.73822,                0.98086,                0.41815,                0.88681,               0.000614,               0.000614,               0.000614
                     73,                  1.036,                 0.4438,                0.89685,                0.97756,                0.97272,                0.98674,                0.74244,                 0.9596,                  0.414,                0.88402,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.0243,                 0.4429,                0.89398,                0.97908,                0.97282,                0.98743,                0.73648,                0.97624,                0.41396,                0.88546,              0.0005744,              0.0005744,              0.0005744
